          type |  Ttrain |   Ttest | Dsize | Vsize |   Bco |   Pco |   Aco |   Bfa
  [poly_1.0_2] |     0.0 |     0.7 |    14 |  2061 |  1144 |   378 |   453 |    86
  [poly_1.0_3] |     0.0 |     1.0 |    14 |  2061 |  1099 |   410 |   497 |    55
  [poly_1.0_4] |     0.0 |     1.0 |    14 |  2061 |   890 |   593 |   536 |    42
  [poly_1.0_5] |     0.0 |     0.8 |    14 |  2061 |   779 |   698 |   548 |    36
  [poly_1.0_6] |     0.0 |     1.2 |    14 |  2061 |   988 |   489 |   539 |    45
  [poly_1.0_7] |     0.0 |     0.9 |    14 |  2061 |  1237 |   235 |   352 |   237
  [poly_1.0_8] |     0.0 |     1.2 |    14 |  2061 |  1216 |   252 |   204 |   389
  [poly_1.0_9] |     0.0 |     1.1 |    14 |  2061 |  1214 |   251 |   108 |   488
 [rbf_1.0_0.0] |     0.0 |     0.9 |    14 |  2061 |  1174 |   271 |    47 |   569
 [rbf_1.0_0.1] |     0.0 |     0.8 |    14 |  2061 |  1174 |   271 |    47 |   569
 [rbf_1.0_0.2] |     0.0 |     1.2 |    14 |  2061 |  1174 |   271 |    47 |   569
 [rbf_1.0_0.3] |     0.0 |     1.2 |    14 |  2061 |   392 |  1053 |   594 |    22
 [rbf_1.0_0.4] |     0.0 |     1.0 |    14 |  2061 |   354 |  1091 |   594 |    22
 [rbf_1.0_0.5] |     0.0 |     1.2 |    14 |  2061 |   338 |  1107 |   594 |    22
 [rbf_1.0_0.6] |     0.0 |     0.8 |    14 |  2061 |   330 |  1115 |   594 |    22
 [rbf_1.0_0.7] |     0.0 |     0.8 |    14 |  2061 |   325 |  1120 |   594 |    22
 [rbf_1.0_0.8] |     0.0 |     1.2 |    14 |  2061 |   317 |  1128 |   594 |    22
 [rbf_1.0_0.9] |     0.0 |     0.7 |    14 |  2061 |   316 |  1129 |   594 |    22
 [rbf_1.0_1.0] |     0.0 |     0.7 |    14 |  2061 |   316 |  1129 |   594 |    22
  [linear_1.0] |     0.0 |     0.6 |    14 |  2061 |  1177 |   350 |   401 |   133
