          type |  Ttrain |   Ttest | Dsize | Vsize |   Bco |   Pco |   Aco |   Bfa
  [poly_1.0_2] |    10.1 |    17.2 |  1400 |  2061 |  2048 |     8 |     5 |     0
  [poly_1.0_3] |    14.1 |    20.5 |  1400 |  2061 |  2049 |     7 |     5 |     0
  [poly_1.0_4] |    13.0 |    17.1 |  1400 |  2061 |  2047 |     9 |     5 |     0
  [poly_1.0_5] |    12.7 |    18.8 |  1400 |  2061 |  2044 |    11 |     6 |     0
  [poly_1.0_6] |    20.6 |    30.3 |  1400 |  2061 |  2042 |    13 |     6 |     0
  [poly_1.0_7] |    22.8 |    32.9 |  1400 |  2061 |  2032 |    18 |    11 |     0
  [poly_1.0_8] |    16.1 |    23.3 |  1400 |  2061 |  2024 |    21 |    11 |     5
  [poly_1.0_9] |    23.2 |    38.5 |  1400 |  2061 |  2013 |    23 |    15 |    10
 [rbf_1.0_0.0] |    29.8 |    40.6 |  1400 |  2061 |  2040 |    10 |    11 |     0
 [rbf_1.0_0.1] |    64.7 |    93.2 |  1400 |  2061 |  1140 |   305 |    38 |   578
 [rbf_1.0_0.2] |    58.7 |    77.5 |  1400 |  2061 |  1140 |   305 |    24 |   592
 [rbf_1.0_0.3] |    57.6 |    79.9 |  1400 |  2061 |  1140 |   305 |    22 |   594
 [rbf_1.0_0.4] |    58.6 |    82.3 |  1400 |  2061 |  1140 |   305 |    22 |   594
 [rbf_1.0_0.5] |    58.2 |    82.1 |  1400 |  2061 |  1140 |   305 |    22 |   594
 [rbf_1.0_0.6] |    51.7 |    91.9 |  1400 |  2061 |  1140 |   305 |    22 |   594
 [rbf_1.0_0.7] |    50.9 |    83.2 |  1400 |  2061 |  1140 |   305 |    22 |   594
 [rbf_1.0_0.8] |    48.9 |    87.9 |  1400 |  2061 |  1140 |   305 |    22 |   594
 [rbf_1.0_0.9] |    54.5 |    45.1 |  1400 |  2061 |  1140 |   305 |    22 |   594
 [rbf_1.0_1.0] |    54.2 |    78.5 |  1400 |  2061 |  1140 |   305 |    22 |   594
  [linear_1.0] |     5.6 |     8.3 |  1400 |  2061 |  2047 |     6 |     8 |     0
