          type |  Ttrain |   Ttest | Dsize | Vsize |   Bco |   Pco |   Aco |   Bfa
  [poly_1.0_2] |     0.0 |     1.8 |    20 |  2061 |  1180 |   365 |   442 |    74
  [poly_1.0_3] |     0.0 |     2.0 |    20 |  2061 |  1149 |   377 |   488 |    47
  [poly_1.0_4] |     0.0 |     1.9 |    20 |  2061 |   918 |   591 |   516 |    36
  [poly_1.0_5] |     0.0 |     2.1 |    20 |  2061 |   711 |   787 |   534 |    29
  [poly_1.0_6] |     0.0 |     1.8 |    20 |  2061 |   628 |   869 |   540 |    24
  [poly_1.0_7] |     0.0 |     2.0 |    20 |  2061 |   577 |   906 |   555 |    23
  [poly_1.0_8] |     0.0 |     1.9 |    20 |  2061 |   553 |   926 |   560 |    22
  [poly_1.0_9] |     0.0 |     2.0 |    20 |  2061 |   516 |   955 |   568 |    22
 [rbf_1.0_0.0] |     0.0 |     2.3 |    20 |  2061 |  1183 |   262 |    52 |   564
 [rbf_1.0_0.1] |     0.0 |     2.3 |    20 |  2061 |  1181 |   264 |    52 |   564
 [rbf_1.0_0.2] |     0.0 |     2.2 |    20 |  2061 |  1181 |   264 |    52 |   564
 [rbf_1.0_0.3] |     0.0 |     2.3 |    20 |  2061 |   401 |  1044 |   594 |    22
 [rbf_1.0_0.4] |     0.0 |     2.5 |    20 |  2061 |   361 |  1084 |   594 |    22
 [rbf_1.0_0.5] |     0.0 |     2.3 |    20 |  2061 |   344 |  1101 |   594 |    22
 [rbf_1.0_0.6] |     0.0 |     2.6 |    20 |  2061 |   336 |  1109 |   594 |    22
 [rbf_1.0_0.7] |     0.0 |     2.4 |    20 |  2061 |   331 |  1114 |   594 |    22
 [rbf_1.0_0.8] |     0.0 |     1.6 |    20 |  2061 |   323 |  1122 |   594 |    22
 [rbf_1.0_0.9] |     0.0 |     1.2 |    20 |  2061 |   322 |  1123 |   594 |    22
 [rbf_1.0_1.0] |     0.0 |     1.6 |    20 |  2061 |   322 |  1123 |   594 |    22
  [linear_1.0] |     0.0 |     1.1 |    20 |  2061 |  1236 |   338 |   391 |    96
