          type |  Ttrain |   Ttest | Dsize | Vsize |   Bco |   Pco |   Aco |   Bfa
  [poly_1.0_2] |  1124.4 |   155.7 |  14000 |  2061 |  2015 |    24 |    22 |     0
  [poly_1.0_3] |  2068.0 |   277.0 |  14000 |  2061 |  1987 |    47 |    23 |     4
  [poly_1.0_4] |  3331.6 |   459.8 |  14000 |  2061 |  1777 |   162 |    84 |    38
  [poly_1.0_5] |  4678.5 |   646.8 |  14000 |  2061 |  1527 |   231 |    87 |   216
  [poly_1.0_6] |  5198.9 |   696.6 |  14000 |  2061 |  1249 |   278 |    55 |   479
  [poly_1.0_7] |  5282.2 |   706.6 |  14000 |  2061 |  1192 |   305 |    22 |   542
  [poly_1.0_8] |  5193.3 |   719.4 |  14000 |  2061 |  1173 |   305 |    24 |   559
  [poly_1.0_9] |  5083.9 |   714.2 |  14000 |  2061 |  1157 |   305 |    22 |   577
 [rbf_1.0_0.0] |   586.3 |    86.2 |  14000 |  2061 |  2043 |     6 |    12 |     0
 [rbf_1.0_0.1] |  24560.3 |  1067.4 |  14000 |  2061 |  1230 |   285 |   130 |   416
 [rbf_1.0_0.2] |  25139.6 |  1069.5 |  14000 |  2061 |  1152 |   304 |    57 |   548
 [rbf_1.0_0.3] |  25104.7 |  1059.1 |  14000 |  2061 |  1142 |   305 |    31 |   583
 [rbf_1.0_0.4] |  25389.9 |  1052.6 |  14000 |  2061 |  1142 |   305 |    26 |   588
 [rbf_1.0_0.5] |  24877.4 |  1055.4 |  14000 |  2061 |  1142 |   305 |    21 |   593
 [rbf_1.0_0.6] |  26216.1 |  1062.9 |  14000 |  2061 |  1142 |   305 |    20 |   594
 [rbf_1.0_0.7] |  25266.2 |   618.3 |  14000 |  2061 |  1142 |   305 |    20 |   594
 [rbf_1.0_0.8] |  26166.7 |  1072.2 |  14000 |  2061 |  1141 |   305 |    21 |   594
 [rbf_1.0_0.9] |  18654.6 |   607.0 |  14000 |  2061 |  1141 |   305 |    21 |   594
 [rbf_1.0_1.0] |  16250.9 |   399.1 |  14000 |  2061 |  1140 |   305 |    22 |   594
  [linear_1.0] |    74.6 |     8.4 |  14000 |  2061 |  2058 |     2 |     1 |     0
