          type |  Ttrain |   Ttest | Dsize | Vsize |   Bco |   Pco |   Aco |   Bfa |   Bac |   Pac |   Aac 
    linear_1.0 |     0.0 |     4.1 |     9 |  3311 |  2574 |   392 |   135 |   210 | 0.777 | 0.896 | 0.818 
    linear_1.0 |     0.0 |     6.7 |    18 |  3311 |  2509 |   449 |   135 |   218 | 0.758 | 0.893 | 0.799 
    linear_1.0 |     0.4 |    11.0 |    90 |  3311 |  2986 |   251 |    44 |    30 | 0.902 | 0.978 | 0.915 
    linear_1.0 |     0.8 |    14.7 |   180 |  3311 |  3183 |   111 |    14 |     3 | 0.961 | 0.995 | 0.966 
    linear_1.0 |     6.5 |    15.8 |   900 |  3311 |  3291 |    13 |     7 |     0 | 0.994 | 0.998 | 0.996 
    linear_1.0 |    13.1 |    15.8 |  1800 |  3311 |  3300 |     8 |     3 |     0 | 0.997 | 0.999 | 0.998 
    linear_1.0 |    43.7 |    10.0 |  9000 |  3311 |  3308 |     2 |     1 |     0 | 0.999 | 1.000 | 0.999 
    linear_1.0 |    52.0 |     7.8 | 18000 |  3311 |  3308 |     2 |     1 |     0 | 0.999 | 1.000 | 0.999
